num_of_fields, frequency
2, 1578
1, 1232
3, 687
0, 363
4, 324
5, 170
6, 90
7, 48
9, 41
8, 40
11, 27
14, 16
15, 16
10, 12
12, 10
13, 6
17, 5
16, 4
254, 4
23, 2
31, 2
100, 2
127, 2
21, 1
54, 1
