num_of_methods, frequency
0, 3499
1, 649
2, 300
3, 87
5, 43
4, 35
6, 17
7, 15
10, 11
9, 4
15, 4
8, 3
11, 3
12, 2
14, 2
16, 2
18, 2
13, 1
20, 1
25, 1
26, 1
29, 1
