jenetics
2023/3/6 19:43:58,5,1,0,-1,0,0,0,0,0
2022/6/15 19:13:39,9,0,0,-3,7,0,0,-3,3
2022/2/21 19:09:25,10,23,3,-26,0,0,0,0,0
total,24,24,3,-30,7,0,0,-3,3
