interface_type, frequency
com.sun.source.tree.ConditionalExpressionTree, 2
com.sun.jdi.request.MethodExitRequest, 2
java.sql.SQLInput, 2
java.security.Policy.Parameters, 2
com.sun.jdi.request.ThreadDeathRequest, 2
javax.lang.model.element.ModuleElement.UsesDirective, 2
com.sun.source.tree.BreakTree, 2
com.sun.jdi.event.EventSet, 2
com.sun.jdi.request.MonitorWaitedRequest, 2
javax.security.auth.Refreshable, 2
javax.tools.JavaFileManager.Location, 2
java.net.http.HttpClient.Builder, 2
com.sun.source.doctree.SinceTree, 2
com.sun.jdi.event.VMDisconnectEvent, 2
jdk.dynalink.linker.LinkRequest, 2
com.sun.jdi.ThreadReference, 2
com.sun.source.doctree.LinkTree, 2
com.sun.source.doctree.SerialTree, 2
com.sun.source.tree.IdentifierTree, 2
java.nio.file.attribute.DosFileAttributes, 2
com.sun.jdi.FloatValue, 2
com.sun.source.tree.ContinueTree, 2
java.security.interfaces.XECPrivateKey, 2
com.sun.source.doctree.ErroneousTree, 2
com.sun.jdi.event.ThreadDeathEvent, 2
com.sun.source.tree.StatementTree, 2
java.security.cert.X509Extension, 2
java.security.Certificate, 2
com.sun.jdi.ModuleReference, 2
com.sun.source.tree.EmptyStatementTree, 2
com.sun.source.doctree.DocRootTree, 2
javax.xml.crypto.dsig.keyinfo.X509Data, 2
jdk.jshell.SourceCodeAnalysis.Suggestion, 2
jdk.javadoc.doclet.DocletEnvironment, 2
com.sun.source.tree.ProvidesTree, 2
com.sun.jdi.FloatType, 2
com.sun.jdi.PrimitiveType, 2
com.sun.source.tree.SwitchExpressionTree, 2
com.sun.source.tree.ErroneousTree, 2
javax.xml.crypto.dsig.keyinfo.X509IssuerSerial, 2
org.ietf.jgss.GSSName, 2
javax.print.event.PrintJobAttributeListener, 2
com.sun.jdi.DoubleType, 2
com.sun.jdi.IntegerType, 2
com.sun.source.tree.OpensTree, 2
com.sun.source.tree.DefaultCaseLabelTree, 2
com.sun.jdi.Field, 2
java.net.DatagramSocketImplFactory, 2
com.sun.source.tree.BlockTree, 2
com.sun.source.tree.EnhancedForLoopTree, 2
java.rmi.server.RemoteCall, 2
javax.script.Bindings, 2
com.sun.jdi.event.MonitorContendedEnteredEvent, 2
com.sun.jdi.event.MonitorWaitEvent, 2
com.sun.jdi.ArrayType, 2
com.sun.jdi.event.EventQueue, 2
javax.sql.rowset.Joinable, 2
com.sun.source.tree.RequiresTree, 2
javax.naming.ldap.UnsolicitedNotification, 2
com.sun.source.tree.PatternTree, 2
com.sun.jdi.Type, 2
javax.lang.model.type.WildcardType, 2
com.sun.jdi.Value, 2
javax.sql.rowset.spi.TransactionalWriter, 2
com.sun.jdi.request.MonitorContendedEnteredRequest, 2
java.util.NavigableMap, 2
com.sun.source.tree.SwitchTree, 2
com.sun.jdi.event.MethodExitEvent, 2
javax.lang.model.type.TypeVariable, 2
com.sun.jdi.event.ClassPrepareEvent, 2
java.awt.image.BufferedImageOp, 2
javax.sound.midi.Receiver, 2
com.sun.tools.jconsole.JConsoleContext, 2
java.security.cert.CertSelector, 2
javax.script.ScriptContext, 2
javax.xml.crypto.dsig.SignedInfo, 2
com.sun.jdi.event.ModificationWatchpointEvent, 2
jdk.dynalink.RelinkableCallSite, 2
com.sun.source.tree.CompoundAssignmentTree, 2
com.sun.source.tree.ExportsTree, 2
com.sun.source.doctree.ReferenceTree, 2
com.sun.source.tree.TypeCastTree, 2
javax.lang.model.element.ModuleElement.RequiresDirective, 2
javax.xml.crypto.dsig.XMLSignContext, 2
javax.tools.DocumentationTool.DocumentationTask, 2
com.sun.source.doctree.SummaryTree, 2
java.sql.RowId, 2
javax.xml.crypto.dsig.DigestMethod, 2
javax.lang.model.element.AnnotationValue, 2
com.sun.source.doctree.IdentifierTree, 2
javax.management.remote.JMXAddressable, 2
javax.naming.ldap.Control, 2
com.sun.source.tree.TypeParameterTree, 2
java.util.ArrayList, 2
com.sun.management.DiagnosticCommandMBean, 2
com.sun.source.tree.ParameterizedTypeTree, 2
com.sun.source.tree.ImportTree, 2
com.sun.source.doctree.CommentTree, 2
javax.xml.crypto.dsig.keyinfo.PGPData, 2
java.awt.desktop.OpenFilesHandler, 2
com.sun.jdi.CharValue, 2
com.sun.source.tree.Scope, 2
com.sun.jdi.TypeComponent, 2
com.sun.jdi.VoidType, 2
com.sun.source.doctree.InheritDocTree, 2
javax.xml.crypto.dsig.keyinfo.KeyInfo, 2
org.ietf.jgss.GSSContext, 2
java.net.http.WebSocket, 2
com.sun.jdi.request.MonitorContendedEnterRequest, 2
javax.lang.model.util.Types, 2
com.sun.source.util.DocTreeFactory, 2
javax.lang.model.type.UnionType, 2
com.sun.source.tree.ModifiersTree, 2
com.sun.source.tree.WhileLoopTree, 2
javax.sql.RowSetReader, 2
com.sun.jdi.request.AccessWatchpointRequest, 2
com.sun.source.tree.BinaryTree, 2
com.sun.jdi.ByteType, 2
com.sun.source.doctree.LiteralTree, 2
java.net.http.HttpRequest.Builder, 2
javax.xml.crypto.dsig.XMLObject, 2
com.sun.source.tree.MemberReferenceTree, 2
com.sun.jdi.event.ThreadStartEvent, 2
jdk.jshell.spi.ExecutionEnv, 2
com.sun.jdi.event.WatchpointEvent, 2
javax.tools.DocumentationTool, 2
java.sql.NClob, 2
com.sun.jdi.ObjectReference, 2
com.sun.jdi.event.MonitorWaitedEvent, 2
org.w3c.dom.ls.LSParserFilter, 2
java.util.stream.Stream, 2
com.sun.source.tree.DirectiveTree, 2
com.sun.jdi.request.WatchpointRequest, 2
javax.xml.crypto.dsig.SignatureProperties, 2
javax.lang.model.element.VariableElement, 2
com.sun.source.tree.VariableTree, 2
com.sun.source.tree.NewClassTree, 2
jdk.dynalink.linker.MethodHandleTransformer, 2
javax.management.remote.MBeanServerForwarder, 2
javax.lang.model.element.AnnotationMirror, 2
javax.xml.crypto.dsig.Reference, 2
com.sun.source.doctree.SerialDataTree, 2
com.sun.source.tree.WildcardTree, 2
com.sun.source.doctree.DeprecatedTree, 2
com.sun.jdi.LongType, 2
javax.imageio.event.IIOWriteWarningListener, 2
java.nio.file.SecureDirectoryStream, 2
com.sun.source.tree.CaseLabelTree, 2
com.sun.source.tree.CatchTree, 2
com.sun.management.UnixOperatingSystemMXBean, 2
javax.script.Compilable, 2
com.sun.source.doctree.ReturnTree, 2
com.sun.management.GarbageCollectorMXBean, 2
javax.annotation.processing.Filer, 2
java.sql.ResultSetMetaData, 2
javax.management.remote.rmi.RMIConnection, 2
javax.naming.spi.DirStateFactory, 2
com.sun.jdi.event.AccessWatchpointEvent, 2
javax.lang.model.element.ExecutableElement, 2
javax.swing.text.Caret, 2
javax.lang.model.element.TypeParameterElement, 2
com.sun.source.tree.DoWhileLoopTree, 2
com.sun.management.HotSpotDiagnosticMXBean, 2
com.sun.jdi.event.Event, 2
java.awt.desktop.QuitResponse, 2
com.sun.source.tree.LiteralTree, 2
com.sun.jdi.MonitorInfo, 2
com.sun.jdi.ClassObjectReference, 2
com.sun.jdi.request.EventRequest, 2
javax.naming.spi.Resolver, 2
com.sun.jdi.DoubleValue, 2
com.sun.source.tree.ModuleTree, 2
java.util.concurrent.Flow.Processor, 2
com.sun.jdi.PathSearchingVirtualMachine, 2
javax.xml.crypto.dsig.keyinfo.RetrievalMethod, 2
com.sun.jdi.PrimitiveValue, 2
com.sun.source.tree.LabeledStatementTree, 2
com.sun.source.tree.UnaryTree, 2
com.sun.source.doctree.SystemPropertyTree, 2
java.sql.SQLOutput, 2
java.rmi.server.ServerRef, 2
javax.lang.model.type.DeclaredType, 2
com.sun.source.tree.ExpressionTree, 2
javax.xml.crypto.dsig.keyinfo.KeyName, 2
com.sun.source.tree.IntersectionTypeTree, 2
com.sun.source.tree.ArrayAccessTree, 2
com.sun.source.doctree.InlineTagTree, 2
com.sun.source.doctree.DocTypeTree, 2
javax.lang.model.element.RecordComponentElement, 2
com.sun.source.doctree.AttributeTree, 2
com.sun.jdi.request.MethodEntryRequest, 2
java.security.interfaces.EdECPrivateKey, 2
javax.xml.crypto.dsig.Manifest, 2
com.sun.jdi.ShortValue, 2
com.sun.source.tree.AssertTree, 2
com.sun.jdi.event.EventIterator, 2
com.sun.jdi.request.ModificationWatchpointRequest, 2
com.sun.jdi.IntegerValue, 2
com.sun.source.tree.MethodTree, 2
java.util.spi.ResourceBundleControlProvider, 2
javax.xml.crypto.dsig.XMLValidateContext, 2
java.util.zip.Checksum, 2
com.sun.source.doctree.SeeTree, 2
com.sun.jdi.Method, 2
com.sun.source.doctree.UsesTree, 2
com.sun.source.tree.BindingPatternTree, 2
com.sun.jdi.request.ClassPrepareRequest, 2
java.util.function.ToDoubleFunction, 1
javax.swing.ButtonModel, 1
java.beans.DesignMode, 1
javax.swing.CellEditor, 1
jdk.jshell.execution.LoaderDelegate, 1
java.awt.desktop.PreferencesHandler, 1
java.awt.desktop.AboutHandler, 1
java.awt.desktop.QuitHandler, 1
javax.swing.table.TableModel, 1
java.sql.Wrapper, 1
org.w3c.dom.xpath.XPathResult, 1
javax.transaction.xa.Xid, 1
javax.swing.undo.StateEditable, 1
org.w3c.dom.xpath.XPathEvaluator, 1
java.lang.Compiler, 1
java.sql.DatabaseMetaData, 1
java.util.function.ToLongBiFunction, 1
java.lang.management.BufferPoolMXBean, 1
org.w3c.dom.xpath.XPathNSResolver, 1
java.sql.ParameterMetaData, 1
java.util.concurrent.locks.ReadWriteLock, 1
java.lang.SecurityManager, 1
java.util.logging.LoggingMXBean, 1
org.w3c.dom.xpath.XPathNamespace, 1
javax.swing.SpinnerModel, 1
java.util.function.IntFunction, 1
javax.xml.crypto.AlgorithmMethod, 1
java.lang.Object, 1
org.w3c.dom.xpath.XPathExpression, 1
