interface_type, frequency
javax.management.remote.JMXAuthenticator, 16
javax.swing.UIDefaults.ActiveValue, 16
javax.swing.text.ViewFactory, 16
javax.swing.tree.TreeModel, 15
javax.imageio.spi.ServiceRegistry.Filter, 15
java.util.concurrent.Flow.Publisher, 15
java.lang.constant.ConstantDesc, 15
java.util.random.RandomGenerator, 15
java.io.Flushable, 15
org.w3c.dom.ls.LSOutput, 15
java.lang.module.ModuleFinder, 15
javax.print.PrintService, 14
org.w3c.dom.Text, 14
javax.imageio.event.IIOReadProgressListener, 14
javax.swing.event.CellEditorListener, 14
java.awt.event.TextListener, 14
javax.management.DynamicMBean, 14
java.awt.ActiveEvent, 14
java.time.temporal.TemporalAmount, 14
javax.security.sasl.SaslClient, 14
java.lang.reflect.WildcardType, 14
org.xml.sax.ext.Locator2, 13
java.awt.event.InputMethodListener, 13
java.time.temporal.TemporalAccessor, 13
java.io.DataInput, 13
javax.swing.event.TableColumnModelListener, 13
javax.xml.stream.XMLStreamReader, 13
java.security.DomainCombiner, 13
java.security.AlgorithmConstraints, 13
java.rmi.server.Unreferenced, 12
java.util.Observer, 12
javax.xml.transform.Result, 12
javax.management.NotificationEmitter, 12
javax.naming.Context, 12
java.util.function.LongSupplier, 12
javax.naming.directory.DirContext, 12
javax.tools.JavaFileManager, 12
org.w3c.dom.ls.LSResourceResolver, 12
javax.print.Doc, 12
javax.sound.midi.Soundbank, 12
javax.swing.tree.TreeCellRenderer, 12
javax.security.auth.Destroyable, 12
org.w3c.dom.traversal.NodeIterator, 12
java.security.KeyStore.LoadStoreParameter, 11
java.sql.Connection, 11
java.util.concurrent.RejectedExecutionHandler, 11
java.text.CharacterIterator, 11
java.util.PrimitiveIterator.OfInt, 11
org.xml.sax.DocumentHandler, 11
java.awt.geom.PathIterator, 11
javax.naming.spi.InitialContextFactory, 11
java.security.Key, 11
java.util.function.BiPredicate, 11
java.util.prefs.PreferenceChangeListener, 11
javax.xml.stream.Location, 11
javax.swing.plaf.synth.SynthIcon, 11
javax.swing.event.MenuListener, 11
javax.xml.crypto.URIDereferencer, 11
java.time.temporal.TemporalField, 10
jdk.dynalink.linker.TypeBasedGuardingDynamicLinker, 10
java.lang.reflect.ParameterizedType, 10
javax.swing.UIDefaults.LazyValue, 10
jdk.dynalink.linker.GuardingDynamicLinker, 10
javax.xml.stream.XMLEventReader, 10
org.w3c.dom.Comment, 10
javax.naming.NameParser, 10
javax.xml.stream.XMLResolver, 10
java.awt.image.RenderedImage, 10
com.sun.source.doctree.DocTreeVisitor, 10
javax.swing.event.InternalFrameListener, 10
javax.sound.sampled.SourceDataLine, 10
java.awt.image.ImageConsumer, 10
org.w3c.dom.ProcessingInstruction, 10
javax.xml.stream.XMLStreamWriter, 10
java.io.FileFilter, 10
java.nio.file.attribute.BasicFileAttributeView, 10
jdk.jshell.spi.ExecutionControl, 10
java.rmi.server.Skeleton, 10
org.w3c.dom.CharacterData, 10
javax.sql.DataSource, 10
javax.swing.event.HyperlinkListener, 9
java.awt.Composite, 9
javax.sound.sampled.LineListener, 9
javax.security.auth.callback.Callback, 9
javax.xml.stream.StreamFilter, 9
javax.swing.event.AncestorListener, 9
java.util.concurrent.ExecutorService, 9
org.xml.sax.Parser, 9
java.nio.file.DirectoryStream, 9
java.io.ObjectInputValidation, 9
org.w3c.dom.DocumentFragment, 9
org.xml.sax.ext.Attributes2, 9
javax.swing.event.MenuKeyListener, 9
javax.swing.Scrollable, 9
javax.sound.midi.MetaEventListener, 9
java.lang.Readable, 9
java.net.URLStreamHandlerFactory, 9
javax.accessibility.AccessibleExtendedComponent, 9
java.lang.reflect.GenericArrayType, 9
java.util.function.BooleanSupplier, 9
javax.accessibility.AccessibleTable, 9
java.awt.event.HierarchyBoundsListener, 9
java.awt.CompositeContext, 9
java.beans.PropertyEditor, 9
javax.sound.midi.MidiDeviceReceiver, 9
java.awt.KeyEventDispatcher, 8
java.sql.Driver, 8
java.awt.ItemSelectable, 8
java.rmi.server.RemoteRef, 8
javax.swing.tree.TreeCellEditor, 8
jdk.javadoc.doclet.Doclet.Option, 8
javax.lang.model.element.ElementVisitor, 8
java.io.ObjectInputFilter.FilterInfo, 8
javax.security.sasl.SaslClientFactory, 8
javax.security.sasl.SaslServerFactory, 8
javax.lang.model.type.NoType, 8
javax.xml.crypto.KeySelectorResult, 8
java.awt.im.spi.InputMethodDescriptor, 8
javax.management.openmbean.CompositeDataView, 8
java.lang.Record, 8
jdk.jshell.spi.ExecutionControlProvider, 8
javax.management.NotificationFilter, 8
java.util.Queue, 8
java.util.concurrent.ForkJoinPool.ForkJoinWorkerThreadFactory, 8
javax.security.sasl.SaslServer, 8
javax.management.DescriptorAccess, 8
javax.swing.text.Element, 8
java.util.SortedSet, 7
javax.swing.tree.TreeNode, 7
org.w3c.dom.DOMLocator, 7
org.xml.sax.ext.EntityResolver2, 7
javax.swing.event.UndoableEditListener, 7
javax.xml.transform.SourceLocator, 7
javax.script.ScriptEngine, 7
java.util.EventListener, 7
org.w3c.dom.DOMError, 7
